dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_types
150,25,0.17,0.03,0.17,0,0,0,0.05,0,0
255,1,0,0.6,0.88,0,0,0,0,0,0
255,26,0.1,0.05,0,0,1,1,0,0,1
30,255,1,0,0.03,0.04,0.03,0.01,0,0.01,0
255,255,1,0,0,0,0,0,0,0,0
255,19,0.07,0.07,0,0,0,0,1,1,1
255,9,0.04,0.05,0,0,1,1,0,0,1
255,15,0.06,0.07,0,0,1,1,0,0,1
255,23,0.09,0.05,0,0,1,1,0,0,1
255,13,0.05,0.06,0,0,1,1,0,0,1
255,12,0.05,0.07,0,0,0,0,1,1,1
255,13,0.05,0.07,0,0,1,1,0,0,1
8,219,1,0,0.12,0.03,0,0,0,0,0
2,20,1,0,1,0.2,0,0,0,0,1
255,1,0,0.07,0,0,1,1,0,0,1
255,2,0.01,0.06,0,0,1,1,0,0,1
91,255,1,0,0.01,0.02,0,0,0,0,0
1,16,1,0,1,1,0,0,0,0,1
66,255,1,0,0.02,0.03,0,0,0.02,0,0
157,255,1,0,0.01,0.04,0,0,0,0,0
255,23,0.09,0.05,0,0,1,1,0,0,1
238,17,0.07,0.06,0,0,0.99,1,0,0,1
87,255,1,0,0.01,0.02,0,0,0,0,0
255,1,0,0.85,1,0,0,0,0,0,0
255,2,0.01,0.06,0,0,1,1,0,0,1
255,25,0.1,0.05,0,0,0.53,0,0.02,0.16,0
255,13,0.05,0.07,0,0,1,1,0,0,1
43,255,1,0,0.02,0.14,0,0,0.56,0.57,0
255,255,1,0,0,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
1,53,1,0,1,0.51,0,0,0,0,1
255,59,0.23,0.04,0.01,0,1,1,0,0,1
9,255,1,0,0.11,0.01,0,0,0,0,0
255,1,0,0.31,0.28,0,0,0,0.29,1,1
255,250,0.98,0.01,0,0,0,0,0,0,0
41,5,0.12,0.05,0.05,0,0,0,0,0,0
255,255,1,0,0.01,0,0,0,0,0,0
255,17,0.07,0.07,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,13,0.05,0.07,0,0,1,1,0,0,1
255,63,0.25,0.02,0.01,0,1,1,0,0,1
255,9,0.04,0.07,0,0,1,1,0,0,1
181,147,0.81,0.02,0.01,0,0,0,0,0,0
255,2,0.01,0.66,0.99,0,0,0,0,0,0
255,255,1,0,0,0,0,0,0,0,0
255,11,0.04,0.07,0,0,1,1,0,0,1
255,80,0.31,0.02,0.31,0,0,0,0,0,1
255,255,1,0,0,0,0,0,0,0,0
4,38,1,0,1,0.18,0,0,0,0,1
255,5,0.02,0.07,0,0,1,1,0,0,1
131,255,1,0,0.01,0.04,0,0,0,0,0
255,4,0.02,0.08,0,0,0,0,1,1,1
255,2,0.01,0.02,0.01,0,0,0,0.77,0,1
26,255,1,0,0.04,0.03,0,0,0,0,0
255,245,0.96,0.01,0.01,0,0,0,0,0,0
122,212,0.88,0.02,0.88,0.01,0,0,0.08,0,0
2,46,1,0,1,0.26,0,0,0,0,1
255,11,0.04,0.07,0,0,1,1,0,0,1
255,59,0.23,0.04,0,0,1,1,0,0,1
255,255,1,0,0.01,0,0,0,0,0,0
175,48,0.25,0.02,0.25,0.04,0,0,0,0,0
255,4,0.02,0.08,0,0,0,0,1,1,1
255,1,0,0.84,0,0,0.07,0,0.62,1,1
255,255,1,0,0,0,0,0,0,0,0
255,10,0.04,0.07,0,0,0,0,1,1,1
109,133,0.39,0.04,0.01,0.02,0,0,0,0,0
236,1,0,0.58,0.58,0,0,0,0.58,1,1
255,67,0.26,0.02,0,0,1,1,0,0,1
255,6,0.02,0.07,0,0,0,0,1,1,1
255,21,0.08,0.06,0,0,1,1,0,0,1
21,58,1,0,0.05,0.03,0,0,0,0,0
255,31,0.12,0.05,0,0,1,1,0,0,1
255,93,0.36,0.01,0.46,0,0,0,0,0,0
84,83,0.99,0.02,0.01,0,0,0,0,0,0
255,6,0.02,0.07,0,0,1,1,0,0,1
44,47,0.55,0.07,0.55,0.04,0,0,0,0,0
255,9,0.04,0.06,0,0,1,1,0,0,1
48,255,1,0,0.02,0.09,0,0,0,0,0
168,255,1,0,0.01,0.04,0,0,0,0,0
255,8,0.03,0.07,0,0,0,0,1,1,1
24,255,1,0,0.04,0.05,0,0,0,0,0
255,7,0.03,0.07,0,0,0,0,1,1,1
255,2,0.01,0.07,0,0,1,1,0,0,1
1,95,1,0,1,0.51,0,0,0,0,1
123,255,1,0,0.01,0.02,0,0,0,0,0
72,7,0.1,0.11,0.01,0,0.97,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
255,1,0,0.07,0,0,1,1,0,0,1
255,15,0.06,0.06,0,0,0,0,1,1,1
117,2,0.02,0.54,0.78,0,0,0,0,0,0
156,255,1,0,0.01,0.09,0,0,0.46,0.61,0
255,255,1,0,0,0,0,0,0,0,0
255,254,1,0.01,0.01,0,0,0,0,0,0
255,10,0.04,0.08,0,0,0,0,1,1,1
255,3,0.01,0.07,0,0,1,1,0,0,1
243,119,0.48,0.02,0,0.02,0.01,0.02,0,0,0
7,1,0.14,0.29,0.14,0,0,0,0,0,0
4,255,1,0,0.25,0.03,0,0,0,0,0
255,2,0.01,0.42,0.86,0,0,0,0,0,0
255,12,0.05,0.05,0,0,1,1,0,0,1
255,255,1,0,0,0,0,0,0,0,0
66,255,1,0,0.02,0.02,0,0,0,0,0
1,247,1,0,1,0.15,0,0,1,0.68,0
153,255,1,0,0.01,0.05,0,0,0,0,0
255,182,0.71,0.29,0.71,0,0.09,0,0.2,0,1
43,255,1,0,0.02,0.03,0,0,0,0,0
242,255,1,0,0,0.01,0,0,0,0,0
10,255,1,0,0.1,0.05,0,0,0,0,0
21,255,1,0,0.05,0.04,0,0,0,0,0
23,249,1,0,0.04,0.1,0,0,1,0.96,0
255,252,0.99,0.01,0,0,0,0,0,0,0
255,152,0.6,0.03,0,0,0.01,0.02,0,0.01,0
6,255,1,0,0.17,0.21,0,0,1,0.88,0
3,255,1,0,0.33,0.01,0,0,0,0,0
107,255,1,0,0.01,0.02,0,0,0,0,0
