count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,attack_types
2,2,0,0,0,0,1,0,0,0
13,1,0,0,0,0,0.08,0.15,0,0
123,6,1,1,0,0,0.05,0.07,0,1
5,5,0.2,0.2,0,0,1,0,0,0
30,32,0,0,0,0,1,0,0.09,0
121,19,0,0,1,1,0.16,0.06,0,1
166,9,1,1,0,0,0.05,0.06,0,1
117,16,1,1,0,0,0.14,0.06,0,1
270,23,1,1,0,0,0.09,0.05,0,1
133,8,1,1,0,0,0.06,0.06,0,1
205,12,0,0,1,1,0.06,0.06,0,1
199,3,1,1,0,0,0.02,0.06,0,1
3,7,0,0,0,0,1,0,0.43,0
2,2,0,0,0,0,1,0,0,1
233,1,1,1,0,0,0,0.06,0,1
96,16,1,1,0,0,0.17,0.05,0,1
8,9,0,0.11,0,0,1,0,0.22,0
1,1,0,0,0,0,1,0,0,1
3,3,0,0,0,0,1,0,0,0
9,10,0,0,0,0,1,0,0.2,0
223,23,1,1,0,0,0.1,0.05,0,1
280,17,1,1,0,0,0.06,0.05,0,1
8,10,0,0,0,0,1,0,0.2,0
1,1,0,0,0,0,1,0,0,0
248,2,1,1,0,0,0.01,0.06,0,1
1,1,0,0,0,0,1,0,0,0
279,7,1,1,0,0,0.03,0.06,0,1
5,22,0,0,0,0,1,0,0.18,0
14,14,0,0,0,0,1,0,0,0
33,33,0,0,0.03,0.03,1,0,0,0
1,12,0,0,0,0,1,0,1,1
57,16,1,1,0,0,0.28,0.07,0,1
9,9,0,0,0,0,1,0,0,0
2,1,0,0,1,1,0.5,1,0,1
181,181,0,0,0,0,1,0,0,0
2,2,0,0,0,0,1,0,0,0
122,202,0,0,0,0,1,0,0.01,0
205,17,1,1,0,0,0.08,0.06,0,1
22,28,0,0,0,0,1,0,0.14,0
228,13,1,1,0,0,0.06,0.07,0,1
50,11,1,1,0,0,0.22,0.08,0,1
262,12,1,1,0,0,0.05,0.06,0,1
1,2,0,0,0,0,1,0,1,0
4,2,0,0,0,0,0.5,0.5,0,0
11,11,0,0,0,0,1,0,0,0
108,11,1,1,0,0,0.1,0.08,0,1
80,80,0,0,0,0,1,0,0,1
44,44,0.02,0.02,0,0,1,0,0,0
2,2,0,0,0,0,1,0,0,1
258,17,1,1,0,0,0.07,0.05,0,1
10,10,0,0,0,0,1,0,0,0
61,4,0,0,1,1,0.07,0.1,0,1
2,2,0,0,0,0,1,0,0,1
26,42,0,0,0,0,1,0,0.05,0
120,120,0,0,0,0,1,0,0,0
73,75,0,0,0,0,1,0,0.03,0
1,15,0,0,0,0,1,0,1,1
135,9,1,1,0,0,0.07,0.06,0,1
24,12,1,1,0,0,0.5,0.08,0,1
148,228,0,0,0,0,1,0,0.01,0
2,2,0,0,0,0,1,0,0,0
206,4,0,0,1,1,0.02,0.06,0,1
175,1,0.1,0,0.89,1,0.01,1,0,1
4,4,0,0,0,0,1,0,0,0
63,10,0,0,1,1,0.16,0.08,0,1
1,1,0,0,0,0,1,0,0,0
1,1,0,0,1,1,1,0,0,1
52,19,1,1,0,0,0.37,0.08,0,1
125,7,0,0,1,1,0.06,0.06,0,1
168,21,1,1,0,0,0.12,0.06,0,1
1,1,0,0,0,0,1,0,0,0
145,16,1,1,0,0,0.11,0.06,0,1
3,2,0,0,0,0,0.67,0.67,0,0
9,14,0,0,0,0,1,0,0.21,0
138,6,1,1,0,0,0.04,0.06,0,1
1,1,0,0,0,0,1,0,0,0
276,9,1,1,0,0,0.03,0.06,0,1
10,27,0,0,0,0,1,0,0.11,0
10,10,0,0,0,0,1,0,0,0
248,8,0,0,1,1,0.03,0.06,0,1
2,31,0,0,0,0,1,0,0.1,0
135,7,0,0,1,1,0.05,0.07,0,1
220,19,1,1,0,0,0.09,0.05,0,1
1,44,0,0,0,0,1,0,1,1
9,9,0,0,0,0,1,0,0,0
212,7,1,1,0,0,0.03,0.05,0,1
10,10,0,0,0,0,1,0,0,0
250,13,1,1,0,0,0.05,0.06,0,1
132,15,0,0,1,1,0.11,0.05,0,1
3,2,0,0,0,0,0.67,0.67,0,0
11,11,0,0,0,0,1,0,0,0
3,9,0,0,0,0,1,0,0.33,0
109,189,0,0,0,0,0.99,0.02,0.01,0
146,18,0,0,1,1,0.12,0.05,0,1
300,6,1,1,0,0,0.02,0.06,0,1
1,2,0,0,0,0,1,0,1,0
1,1,0,0,0,0,1,0,0,0
4,5,0,0,0,0,1,0,0.4,0
2,2,0,0,0,0,1,0,0,0
129,16,1,1,0,0,0.12,0.05,0,1
32,32,0.03,0.03,0,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0
