count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,attack_types
2,2,0,0,0,0,1,0,0,normal
13,1,0,0,0,0,0.08,0.15,0,normal
123,6,1,1,0,0,0.05,0.07,0,dos
5,5,0.2,0.2,0,0,1,0,0,normal
30,32,0,0,0,0,1,0,0.09,normal
121,19,0,0,1,1,0.16,0.06,0,dos
166,9,1,1,0,0,0.05,0.06,0,dos
117,16,1,1,0,0,0.14,0.06,0,dos
270,23,1,1,0,0,0.09,0.05,0,dos
133,8,1,1,0,0,0.06,0.06,0,dos
205,12,0,0,1,1,0.06,0.06,0,dos
199,3,1,1,0,0,0.02,0.06,0,dos
3,7,0,0,0,0,1,0,0.43,normal
2,2,0,0,0,0,1,0,0,r2l
233,1,1,1,0,0,0,0.06,0,dos
96,16,1,1,0,0,0.17,0.05,0,dos
8,9,0,0.11,0,0,1,0,0.22,normal
1,1,0,0,0,0,1,0,0,probe
3,3,0,0,0,0,1,0,0,normal
9,10,0,0,0,0,1,0,0.2,normal
223,23,1,1,0,0,0.1,0.05,0,dos
280,17,1,1,0,0,0.06,0.05,0,dos
8,10,0,0,0,0,1,0,0.2,normal
1,1,0,0,0,0,1,0,0,normal
248,2,1,1,0,0,0.01,0.06,0,dos
1,1,0,0,0,0,1,0,0,normal
279,7,1,1,0,0,0.03,0.06,0,dos
5,22,0,0,0,0,1,0,0.18,normal
14,14,0,0,0,0,1,0,0,normal
33,33,0,0,0.03,0.03,1,0,0,normal
1,12,0,0,0,0,1,0,1,probe
57,16,1,1,0,0,0.28,0.07,0,dos
9,9,0,0,0,0,1,0,0,normal
2,1,0,0,1,1,0.5,1,0,probe
181,181,0,0,0,0,1,0,0,normal
2,2,0,0,0,0,1,0,0,normal
122,202,0,0,0,0,1,0,0.01,normal
205,17,1,1,0,0,0.08,0.06,0,dos
22,28,0,0,0,0,1,0,0.14,normal
228,13,1,1,0,0,0.06,0.07,0,dos
50,11,1,1,0,0,0.22,0.08,0,dos
262,12,1,1,0,0,0.05,0.06,0,dos
1,2,0,0,0,0,1,0,1,normal
4,2,0,0,0,0,0.5,0.5,0,normal
11,11,0,0,0,0,1,0,0,normal
108,11,1,1,0,0,0.1,0.08,0,dos
80,80,0,0,0,0,1,0,0,dos
44,44,0.02,0.02,0,0,1,0,0,normal
